Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,ROUIBA,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,177631.57894736843,EAST
Jul,STAOUELI,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,237500,WEST
Jul,ALGER,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,3e5,NORTH
Jul,ALGER,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,26e4,NORTH
Jul,HYDRA,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,BUREAU D'AFFAIRE,5e5,NORTH
Jul,KOUBA,1,4,TRUE,TRUE,FALSE,FALSE,TRUE,AGENCE,282051.28205128206,NORTH
Jul,ALGER,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,290909.0909090909,NORTH
Jul,CHERAGA,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,239130.4347826087,WEST
Jul,KOUBA,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,236e3,NORTH
Jul,DJISR KSENTINA,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,PARTICULIER,189473.68421052632,SOUTH
Jul,BAB EL OUED,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,196721.31147540984,NORTH
Jul,BORDJ EL BAHRI,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,112359.55056179775,EAST
Jul,BORDJ EL BAHRI,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,123076.92307692308,EAST
Jul,BORDJ EL KIFFAN,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,47058.82352941176,EAST
Jul,EL ACHOUR,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,193750,WEST
Jul,EL MOURADIA,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,102564.10256410256,NORTH
Jul,LES EUCALYPTUS,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,109090.90909090909,SOUTH
Jul,MOHAMMADIA,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,AGENCE,333333.3333333333,NORTH
Jul,BORDJ EL BAHRI,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,183333.33333333334,EAST
Jul,CHERAGA,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,264285.71428571426,WEST
Jul,DOUERA,3,4,FALSE,FALSE,TRUE,FALSE,FALSE,BUREAU D'AFFAIRE,157142.85714285713,SOUTH
Jul,ROUIBA,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,244565.21739130435,EAST
